8: Sakila

a) Tulosta DVD-elokuvien kielet (language) aakkosjärjestyksessä

mysql> SELECT *FROM language ORDER BY name;
+-------------+----------+---------------------+
| language_id | name     | last_update         |
+-------------+----------+---------------------+
|           1 | English  | 2006-02-15 05:02:19 |
|           5 | French   | 2006-02-15 05:02:19 |
|           6 | German   | 2006-02-15 05:02:19 |
|           2 | Italian  | 2006-02-15 05:02:19 |
|           3 | Japanese | 2006-02-15 05:02:19 |
|           4 | Mandarin | 2006-02-15 05:02:19 |
+-------------+----------+---------------------+


b) Tulosta kaikkien niiden näyttelijöiden elokuvat, joiden sukunimi on Temple.

mysql> SELECT last_name,title FROM actor JOIN film_actor ON actor.actor_id=film_actor.actor_id JOIN film ON film_actor.film_id=film.film_id WHERE last_name='Temple';
+-----------+-------------------------+
| last_name | title                   |
+-----------+-------------------------+
| TEMPLE    | ACADEMY DINOSAUR        |
| TEMPLE    | ALABAMA DEVIL           |
| TEMPLE    | BALLOON HOMEWARD        |
| TEMPLE    | BEACH HEARTBREAKERS     |
| TEMPLE    | BUTTERFLY CHOCOLAT      |
| TEMPLE    | CARRIE BUNCH            |
| TEMPLE    | CASUALTIES ENCINO       |
| TEMPLE    | CONTACT ANONYMOUS       |
| TEMPLE    | DROP WATERFRONT         |
| TEMPLE    | EARLY HOME              |
| TEMPLE    | ENGLISH BULWORTH        |
| TEMPLE    | FELLOWSHIP AUTUMN       |
| TEMPLE    | GILMORE BOILED          |
| TEMPLE    | GUMP DATE               |
| TEMPLE    | ICE CROSSING            |
| TEMPLE    | INTERVIEW LIAISONS      |
| TEMPLE    | JUMANJI BLADE           |
| TEMPLE    | JUNGLE CLOSER           |
| TEMPLE    | LAMBS CINCINATTI        |
| TEMPLE    | LIAISONS SWEET          |
| TEMPLE    | MICROCOSMOS PARADISE    |
| TEMPLE    | MIGHTY LUCK             |
| TEMPLE    | MILE MULAN              |
| TEMPLE    | PRIMARY GLASS           |
| TEMPLE    | REQUIEM TYCOON          |
| TEMPLE    | RESURRECTION SILVERADO  |
| TEMPLE    | VARSITY TRIP            |
| TEMPLE    | VISION TORQUE           |
| TEMPLE    | WASH HEAVENLY           |
| TEMPLE    | WIZARD COLDBLOODED      |
| TEMPLE    | BANG KWAI               |
| TEMPLE    | BILL OTHERS             |
| TEMPLE    | BREAKFAST GOLDFINGER    |
| TEMPLE    | CANYON STOCK            |
| TEMPLE    | CHASING FIGHT           |
| TEMPLE    | CHITTY LOCK             |
| TEMPLE    | CITIZEN SHREK           |
| TEMPLE    | CLOSER BANG             |
| TEMPLE    | COMFORTS RUSH           |
| TEMPLE    | CONNECTION MICROCOSMOS  |
| TEMPLE    | CRAZY HOME              |
| TEMPLE    | CROSSROADS CASUALTIES   |
| TEMPLE    | FROGMEN BREAKING        |
| TEMPLE    | GHOST GROUNDHOG         |
| TEMPLE    | GLORY TRACY             |
| TEMPLE    | GOLD RIVER              |
| TEMPLE    | INDIAN LOVE             |
| TEMPLE    | NOVOCAINE FLIGHT        |
| TEMPLE    | PELICAN COMFORTS        |
| TEMPLE    | PLATOON INSTINCT        |
| TEMPLE    | SANTA PARIS             |
| TEMPLE    | SHAKESPEARE SADDLE      |
| TEMPLE    | SLUMS DUCK              |
| TEMPLE    | SMILE EARRING           |
| TEMPLE    | TOWERS HURRICANE        |
| TEMPLE    | TRAINSPOTTING STRANGERS |
| TEMPLE    | TROOPERS METAL          |
